,0
0,-181.29359748755323
1,-505.4565741469982
2,-419.00048452492354
3,-200.62722519744628
4,-387.76063732370244
5,-315.3948780033646
6,-130.5519227515021
7,-435.96050885958294
8,-351.9073348953692
9,-566.2436328702527
10,-357.05106938523653
11,-237.3603161440689
12,-266.7472341728918
13,-111.57865732300604
14,-119.69004000444636
15,-130.39082517068658
16,-191.0635096363054
17,-243.6088324997823
18,-291.4013745539355
19,-330.09586827416626
20,-243.85517344705067
21,-242.16716551824655
22,-254.41752181038635
23,-300.4286506646954
24,-423.85318067750154
25,-311.876919623827
26,-275.7931147909911
27,-26.607585182021296
28,-334.30685713126445
29,-265.81409601553463
30,-62.87266145133848
31,-337.6395640224612
32,-311.14247776187875
33,-235.20174477002692
34,-122.9962131340759
35,-160.90104419454929
36,-149.04600751483886
37,-60.60186473028288
38,-94.48732881985165
39,-132.0065698223928
40,-325.6408177578004
41,-78.50601685965972
42,-159.25966766325584
43,-32.45608582660236
44,-87.88972438364897
45,-86.62617108596773
46,-25.42789263654896
47,-18.607634983735494
48,-43.73058088239138
49,-71.96190302654676
50,-120.4522978581568
51,-29.415611750051667
52,-55.56842167204259
53,-99.65006298874093
54,-30.203149024530532
55,-100.17319481705579
56,-141.12120851938877
57,-187.74951424390986
58,-89.84081710481509
59,-62.69834218734232
60,-126.28241686172876
61,-111.0681319333408
62,-122.20971734272423
63,-74.43318221531999
64,-159.17278223226577
65,-160.38155707046081
66,-75.66204466940556
67,-46.2188528633133
68,-40.7469415659123
69,-16.245591476907506
70,-60.96547794147179
71,-165.71987837354152
72,-159.58707557339292
73,-9.857813658304835
74,20.532934392338944
75,-117.98445305516745
76,-41.364141031256295
77,-25.820574846203968
78,-399.03127176964375
79,-113.76349240828321
80,-33.32578504475792
81,-209.94247799390996
82,208.44182745430476
83,-78.92183168970985
84,-40.74604443188176
85,-197.26382805633193
86,-294.4384714076573
87,-274.5186264815745
88,-301.35457665961496
89,168.8540979071645
90,-68.20707778916459
91,-14.008020749808168
92,-533.7526487399163
93,-220.04915889640304
94,-120.77044926651179
95,-108.20638968412977
96,-173.81957269806745
97,0.46013224433832534
98,-180.2096201681768
99,-168.15425526448723
100,34.22665344641973
101,-39.469421506190066
102,-363.6496697955067
103,-343.92480218289666
104,-71.4983971349661
105,-545.4957871577644
106,-148.7591087512808
107,-334.76650608170144
108,-44.20719309710161
109,-200.42246330905166
110,-83.31172839899263
111,-136.8795214956847
112,-62.98159145525011
113,-231.50925701543719
114,-29.827797829685167
115,-186.76423123631247
116,2.769846202563542
117,-3.8086525779753657
118,-167.11191868135845
119,-541.9458142402501
120,-466.66569239354084
121,-187.29113156066234
122,-159.15346650633765
123,-82.94714430027369
124,-322.16875494448954
125,-322.5492710516641
126,-129.1433736917533
127,-226.81564305044716
128,-107.70604822806263
129,-90.28071199845623
130,-309.6743117497671
131,-326.0228933912948
132,-326.74664372015377
133,-183.9637791591686
134,-77.26012465767847
135,-297.078172957148
136,-119.2538245943793
137,-117.16964622701818
138,-188.1995298878487
139,167.96604069703417
140,-59.21559345138511
141,-214.11322313987966
142,-222.10721579271393
143,-275.23061760082055
144,-152.82754733621834
145,-310.8150999709967
146,-55.68375796099874
147,-349.93737625168
148,-241.7821591684624
149,-351.93447231746524
150,-309.42741248031405
151,-181.47362926332818
152,-165.90402316388412
153,-67.64660750431717
154,-253.9222022036832
155,-256.50961572725845
156,-402.62587205240504
157,-230.38469482989208
158,-225.69200151596488
159,-32.19383440528381
160,5.518364180295279
161,-131.7418918050355
162,-45.47481962229556
163,-265.8482552113427
164,-232.99248406793924
165,-473.41309086155604
166,-121.06366208376159
167,-10.050265502087186
168,-162.3975012507796
169,-142.8856529501455
170,-254.99188142639485
171,-170.2760273704952
172,-114.77930428806091
173,-181.53990971682893
174,-179.923171117643
175,-273.8872448978395
176,-164.97130289776754
177,-111.03387020188579
178,-56.592356758279
179,-74.22887555223788
180,-249.4837119818164
181,-316.8354918227267
182,-157.45145768339202
183,-102.08460941305269
184,-108.52083053106415
185,-142.6307817420849
186,-159.56647718193068
187,-148.8340439650413
188,-47.87886691014424
189,-189.99048904369107
190,-57.88380621038738
191,-280.8790623774422
192,-187.69343907799058
193,-79.40489868880671
194,-330.98817241800526
195,162.1080859397326
196,-30.006593028891576
197,-258.6733246677114
198,137.8467651388184
199,151.30500498728424
200,186.4373242296584
201,11.311579980063755
202,-74.21105049746362
203,99.21965768077334
204,-295.85737360675694
205,38.63162026853422
206,-52.179173277794604
207,-23.847703453490535
208,-109.85113497703327
209,2.1245801647967073
210,-225.8342207835151
211,-188.70350670760305
212,-285.6822664985199
213,-274.29274393083426
214,-220.5158250847175
215,-161.80841475043087
216,234.6950744168337
217,-114.66072475703635
218,-262.8362489036679
219,-334.2541476707555
220,26.96791479978674
221,197.02484465316337
222,-1.2456434004677561
223,-22.593168556867965
224,175.58483661608025
225,-173.93900653580806
226,-101.62429780931376
227,227.22229115550635
228,-354.05861966733335
229,231.5484108110064
230,213.7916744968713
231,238.56114125159743
232,-87.87496070620219
233,33.854706618442975
234,259.0989256961754
235,-15.05041804637088
236,193.13824457249245
237,-329.0231610133011
238,15.639883214790107
239,200.55062529479085
240,244.2808198711464
241,248.78613256637828
242,-206.20572666444917
243,-113.61849343267757
244,132.04679557874596
245,211.95734516638498
246,230.5578332179338
247,238.00967654815966
248,-222.84692410581457
249,201.55186796613503
250,5.405150659084299
251,-209.4704212026079
252,25.32711401838256
253,-79.8664310773437
254,217.93890120513342
255,170.3748559228061
256,269.12919437647656
257,243.05686123095361
258,-9.915886482418955
259,209.97373928140894
260,-385.73106120901673
261,-174.15770463421956
262,-122.40830463728763
263,229.01256659694135
264,171.91388527735495
265,-254.00718368569125
266,51.3639291716716
267,-119.9516554875793
268,123.21656025563074
269,205.50766768966383
270,206.49447508887823
271,214.30665762221776
272,150.7136209823031
273,155.82823647363952
274,206.4339150042343
275,-244.8831670182696
276,-303.0822473560314
277,258.7404037360042
278,158.82490730617639
279,-44.26027193410704
280,-158.73272638834266
281,174.31830058011647
282,238.0274328560211
283,-10.072305950852865
284,18.8938741919414
285,157.41271547370528
286,135.66824077076953
287,219.63113050391433
288,222.7641597650429
289,221.3170302281472
290,184.05581882182506
291,238.07379498336033
292,-88.77029088427865
293,11.033692043224903
294,24.886275515958914
295,264.0474356998054
296,-59.55723833979973
297,16.380119464284263
298,195.47694398435974
299,248.88867096512223
300,153.2618145261514
301,176.4804601118685
302,143.1133462052297
303,16.113434222368355
304,151.70148387352805
305,184.26694076636116
306,-134.43447924502124
307,-366.5378323544425
308,-269.5397617886753
309,-125.05525556903153
310,-76.15325105690476
311,120.16875403002615
312,-125.16030710726548
313,-62.04473523023891
314,-76.32010423939384
315,228.00750261962978
316,-118.48347646257399
317,-79.94087619354526
318,-58.70391255875994
319,-114.62831658447483
320,-127.56499387038004
321,178.18712388145457
322,160.8298699570197
323,180.70703909659096
324,197.2732554606199
325,229.57480280436567
326,301.33220299262933
327,231.0889790216103
328,193.39187561139414
329,184.4017660790361
330,-55.079247006754805
331,-61.262951171853416
332,202.7205022771817
333,224.41038583114613
334,165.33486426830103
335,267.67087824732755
336,239.46441017705033
337,262.863203066014
338,254.82093400027935
339,174.20574906144054
340,211.10923459524332
341,216.84819642768696
342,-2.9913736457787223
343,220.92198632571615
344,-243.62356033330997
345,7.773738457025388
346,258.16790645302723
347,223.88901615854462
348,205.15108674325697
349,139.51764141680852
350,217.2205396617319
351,159.57419454322513
352,228.1751512381498
353,259.1998553068637
354,234.22688786874542
355,231.27579760472796
356,252.77232963412067
357,241.37129844323098
358,217.52296414961378
359,252.77691050834977
360,181.4273984099994
361,273.73017888100264
362,-18.255562759188308
363,239.23373416032965
364,222.53545890413127
365,-82.45819889879762
366,200.9282034760447
367,215.19963527005388
368,-131.78329779967248
369,-170.30970463387237
370,243.80993748163223
371,2.8584756140894707
372,250.29604982380883
373,200.5311583778218
374,228.5481362087792
375,282.8291002291202
376,-150.1505657856706
377,241.9316161119645
378,232.1708655074283
379,220.82502122129034
380,236.08685976969792
381,228.6294474928361
382,276.3987899789329
383,230.89856269097362
384,244.34384691220347
385,284.79416541593145
386,253.78866406768054
387,228.55216570195788
388,253.8283050014096
389,218.2230930655877
390,274.7374495369688
391,211.37507636533428
392,277.66835474545235
393,-0.6179903267183988
394,60.17963162165546
395,198.48666239570292
396,-61.54313979477176
397,-126.72092708502323
398,272.64549413879024
399,247.04388257569914
400,258.97556808639945
401,243.36873205552774
402,-134.77276523114568
403,208.772717733035
404,-29.09925189989892
405,-52.326849537604026
406,257.324469814559
407,-83.15863103430084
408,256.90877834778905
409,256.6582145128051
410,245.41577834922083
411,-271.98720903673353
412,251.05054018039934
413,218.57453175758846
414,215.82492526489116
415,164.16369727082366
416,156.1915962063003
417,-162.99205288296105
418,-82.62317353524216
419,-47.855043931760406
420,-164.0221503841122
421,-112.21314740912531
422,-105.65464182135358
423,205.10704889790998
424,27.548407271360972
425,-26.2963827358224
426,-31.06337559062369
427,-90.59672344003515
428,12.1375239328369
429,21.45685879043853
430,249.71855347726535
431,107.10864297927168
432,197.59579892134414
433,204.32564601450974
434,234.8223958737331
435,-86.40445264021722
436,-159.17279704710305
437,254.2170386769358
438,273.11837975361834
439,-341.927064427354
440,173.35258077940745
441,42.35667887933948
442,222.7450116236409
443,208.08724445798435
444,215.16807311776233
445,-9.357665082861217
446,130.76196337702464
447,-221.90622231754685
448,-345.8724711324839
449,-363.7194913494527
450,-406.82242058284714
451,-233.8973628300226
452,-123.03380102490449
453,266.47008157715567
454,74.93673169333982
455,-388.9642940504441
456,-115.94764825002386
457,178.28419654706227
458,224.52954717242778
459,256.4600116282518
460,214.36662090405733
461,228.34998496376784
462,238.14361290124333
463,12.159796688939707
464,-5.549054737438084
465,-76.13262758246336
466,-35.85569800377405
467,222.16569075531885
468,-103.59433343639489
469,-195.90651298952005
470,-332.0375799523098
471,166.12350847304816
472,-260.77826462935104
473,288.19663490260524
474,239.4199446163905
475,265.8819036363893
476,33.76166395902791
477,253.11755984024848
478,217.96513032170634
479,230.83040826806626
480,231.22725993708247
481,-171.832809569635
482,-278.57541247588483
483,219.86336004214306
484,205.55537751608472
485,-70.93057288494606
486,30.6334613906198
487,272.12040283894595
488,-37.193869122645864
489,-36.87420841747655
490,44.90939790805987
491,232.98300969032627
492,251.12943470106075
493,254.66626586964674
494,185.17723914069614
495,226.3551754845526
496,-83.8873864533252
497,143.27804082090663
498,-16.069654390511545
499,280.4321860900489
500,253.54395365288173
501,253.97791736122306
502,24.53921656364541
503,249.8391315114801
504,213.83619936153883
505,196.3014120657723
506,-13.401003253975887
507,248.2263301557024
508,228.8664254022275
509,246.232378016789
510,254.92649798708035
511,183.04202812076824
512,274.4074357039127
513,226.75617267116735
514,208.28253332832398
515,247.54070800643058
516,233.06035254690232
517,235.49657984551683
518,250.98684601279027
519,155.05818021143756
520,234.68605786852382
521,243.7156797657596
522,231.23692971161168
523,241.58024435538786
524,231.971493714337
525,-79.81171297462518
526,0.027300567099459272
527,165.00170501238665
528,260.5766225366549
529,249.15607855866563
530,279.7455738149597
531,180.79352038844158
532,257.77242251807775
533,159.58280999054264
534,274.70122297415526
535,249.8207342934203
536,258.2902911831032
537,229.77844495879626
538,210.77937375394424
539,-324.6261887906789
540,-479.2219655950529
541,274.23663230185724
542,254.56623675568
543,273.1027769555335
544,251.10932697015014
545,-136.14478236319397
546,258.40524184688655
547,-34.29475390740234
548,-47.67053797831179
549,11.694057309557408
550,260.5657204119776
551,230.2105432924312
552,246.65529972513275
553,238.28590627894926
554,249.6775099649248
555,238.96429997159163
556,-98.1301670716515
557,261.78614914988907
558,251.37856201349595
559,-104.58515496711051
560,-62.60962977583511
561,211.62224389954642
562,250.42127770988037
563,277.61903107899536
564,261.972448615642
565,200.60274353182297
566,-180.17720412327833
567,155.29245948756474
568,-218.97460826172323
569,-304.299053757632
570,216.97488630534536
571,236.12019584318105
572,253.7223717443879
573,266.9587978618782
574,240.459326486312
575,246.5739199888902
576,209.03433891211836
577,264.13277224000973
578,245.06225871765272
579,213.00331368821966
580,184.87684314485765
581,206.0223121139959
582,232.65407438779
583,274.23145373040654
584,221.91481213721056
585,216.01702447621042
586,-6.10068922233323
587,185.90358228115593
588,-200.27271013274355
589,267.1953817180897
590,238.32561168514297
591,224.46504229700216
592,-505.56278711194
593,273.2733464771957
594,257.41380935597056
595,138.92763709912253
596,154.09921692706217
597,237.01946124599195
598,252.95549554327445
599,-1.7287382598917214
600,276.3065046795536
601,238.70704190905627
602,262.9221127325129
603,199.6724656556833
604,252.36520905286275
605,203.02905832131918
606,218.10674293097796
607,44.34089254266908
608,244.3300777450038
609,220.28835462679913
610,209.69877594734967
611,240.50965613959778
612,234.6190399860773
613,232.1817930454014
614,-10.674936863086018
615,12.437661585398828
616,240.22175904708132
617,263.0680230796845
618,128.22969418062084
619,244.52057001964897
620,-125.54091044695691
621,242.23962837642688
622,238.66586255807442
623,212.05747847539413
624,260.3710559761936
625,-179.07625067853013
626,230.93010204250322
627,255.33836380054709
628,298.78763373062395
629,-39.02881955054009
630,255.90000565819793
631,244.89584901804383
632,-271.9628263116015
633,200.80845757172403
634,-655.4700767850993
635,-543.9691734616679
636,239.01055726130744
637,192.88620113045025
638,149.01939263847925
639,259.2389229287415
640,220.8093952901601
641,286.3224834582282
642,236.14721531462718
643,222.83153566087344
644,240.33525476223684
645,-224.4719808323292
646,235.69025849327096
647,276.6361728979041
648,206.8941965818451
649,241.50385675945083
650,278.2833301598606
651,210.85317116919225
652,277.3323335446572
653,96.71919989523138
654,259.37391424541823
655,248.0839942662691
656,233.02787786706534
657,271.7259768040869
658,280.74324316413595
659,273.77460790276643
660,206.85094960839194
661,260.3343034929581
662,270.4700561959746
663,265.56668035534835
664,222.75105704600014
665,228.11452298265203
666,237.08825254081134
667,252.6043252078198
668,257.9025945996704
669,286.6034209681403
670,278.006342870526
671,206.16574468004313
672,14.025624653840254
673,265.05250329644196
674,248.4893147123068
675,254.1343532960958
676,232.8418065564656
677,229.8794653615
678,221.07436403442904
679,264.8004435190573
680,260.6970653080509
681,216.1809333443205
682,256.3498445408645
683,289.8906205006231
684,252.17487169556134
685,232.22181070374228
686,260.80960987732044
687,254.88539677818616
688,266.2708353290443
689,246.8507396854171
690,274.8624969650954
691,199.56583012570323
692,-98.54986506209508
693,210.9004120875685
694,276.00417004912174
695,253.4701531420083
696,220.08968962160986
697,274.4912502734008
698,268.8891199870093
699,243.6578829816324
700,292.00770059275135
701,243.56623138268355
702,226.5997799935774
703,274.0036828779393
704,268.40735623433216
705,267.5676398539815
706,259.64713983177194
707,228.33278916647686
708,268.46035872319226
709,221.9365054279208
710,239.7640452935294
711,232.54112638434816
712,216.59723065125547
713,287.1275823840748
714,182.60152031044026
715,210.85182809776404
716,-56.28011985272216
717,8.678346507044012
718,238.85924268410434
719,242.04580490954592
720,221.23005007498134
721,256.7192239950946
722,222.35399332743572
723,258.4139567367962
724,133.35276523733896
725,177.88428603232435
726,188.33932342529306
727,242.86527847970805
728,-12.66813065250585
729,101.38699138472714
730,221.3485405827135
731,208.51151916288302
732,134.52830788687135
733,168.43496691204086
734,225.27003277723037
735,240.37633108815476
736,264.00408940045145
737,252.79498824939608
738,257.939971523737
739,265.62206657696095
740,250.27180936434164
741,246.47107332930952
742,298.10009968315825
743,222.21293008696568
744,-50.23941364422225
745,255.08512508902092
746,263.8875662464511
747,272.7591810972446
748,258.0531037268056
749,257.52291572544755
750,238.83589171875272
751,277.2361395959757
752,-62.87627642046697
753,241.79577005226614
754,-41.0528718766581
755,267.58961615233176
756,180.98454152551727
757,255.96697612966963
758,224.49175833783596
759,233.25112032235722
760,220.9562177652491
761,277.05549172223573
762,253.8997444501638
763,267.2829042109387
764,208.1188496349929
765,218.16834641050514
766,229.42224378664037
767,-118.57080370420441
768,16.929915356484273
769,-78.81815259841707
770,-58.14223978842903
771,272.0917386043567
772,249.9857554721329
773,280.29820051768246
774,174.18851733214052
775,212.64140302755152
776,255.1924885217169
777,-28.439388129594718
778,-92.5011668387811
779,266.0454876188216
780,268.13851217016355
781,214.89231970001282
782,240.46563092718125
783,240.79148410955227
784,237.3963390917461
785,254.11573572580394
786,273.07355004838433
787,284.1371102628932
788,243.85129873282875
789,243.8438458449528
790,236.43471558828082
791,231.37996623952068
792,240.24003937148208
793,-193.6274929665
794,260.1784351486386
795,264.13425166508273
796,261.5733626674123
797,247.1871238146996
798,220.5879810574653
799,268.9797151273439
800,274.1990667273301
801,147.89660006028254
802,266.3578154803515
803,-142.0466697671698
804,243.83224837804855
805,262.9691492950851
806,289.29883048864474
807,259.0590680687781
808,18.577027294623562
809,-29.701523499065203
810,3.422420133753178
811,-198.67694004883444
812,-297.72941378064064
813,235.2170508675741
814,-212.91985110205462
815,-201.13852612816004
816,251.3943985384379
817,192.03925463552662
818,107.85489624828296
819,248.5370082835531
820,277.0191691009725
821,257.1416756504276
822,250.96243122689486
823,267.47092601724853
824,248.29338938842236
825,221.7650217624846
826,275.11186279294475
827,295.3397219370348
828,241.65952756993585
829,241.514141373177
830,226.92556324470706
831,240.5101468491989
832,281.5846632264021
833,233.34084395635995
834,265.2728414873059
835,257.19749929665204
836,187.1377673137033
837,-62.344767196983845
838,262.984570892293
839,253.48791037469334
840,272.9162826036133
841,278.40637292290046
842,268.4372183256534
843,251.3651107354479
844,257.79155014443495
845,240.0205260143981
846,220.62381272110161
847,-14.214798695997573
848,263.92533263068424
849,245.74832460012206
850,210.41973017937184
851,244.00810916691097
852,253.62729068826056
853,253.54511843034868
854,222.54120299732782
855,286.9870348050224
856,248.18969794739945
857,245.04075870930058
858,243.2794265619666
859,277.5410303265343
860,219.95620596553076
861,260.28328947945954
862,-96.0870231731885
863,9.482942446869984
864,236.6322795971143
865,251.3284710035798
866,270.322706392343
867,269.857887037973
868,214.0890927035617
869,286.8386419332241
870,259.9094522725625
871,236.74709413410415
872,227.0876942567934
873,261.0060723015496
874,267.4898738052782
875,261.4086865415287
876,-0.4584171875391547
877,252.77589868678933
878,-21.258188298623068
879,14.057369007602702
880,-61.598697043182845
881,282.8343881889475
882,231.69271849948814
883,290.0497212128221
884,271.6532395884903
885,254.6537763391846
886,265.3411529929
887,254.28931013126746
888,267.91454219598637
889,264.93621729531185
890,271.99047642952837
891,188.14141288094362
892,240.33984186058368
893,259.5055114294489
894,-166.98401512215798
895,258.1180964384225
896,279.475018342358
897,230.5052428445853
898,242.20634437935155
899,257.6892111213642
900,-275.8890780497259
901,245.8826835613286
902,264.7214859315993
903,254.427866518042
904,265.23918792715267
905,244.42941713251258
906,257.02888941824386
907,278.23685442550055
908,295.853807027425
909,229.96292430622162
910,247.77402606829062
911,262.0097574305541
912,232.88700353122044
913,232.71861873250108
914,234.26500935671584
915,252.0990654339188
916,281.45109046780817
917,234.79084447959727
918,295.0906985709413
919,279.9779906517091
920,290.52022050369067
921,311.6440914309602
922,232.0552193755355
923,213.39321934918596
924,218.23147493735723
925,222.55929326765354
926,267.69914891696874
927,264.4942716685846
928,226.9273269578989
929,268.5333526337412
930,220.95911703313035
931,214.13089657601012
932,232.9162648445154
933,297.53536020894023
934,270.7395530474152
935,291.0112214072327
936,254.0844841681678
937,-49.508169175274766
938,-9.91251483992913
939,260.083554423588
940,292.945460910371
941,280.16097280871236
942,243.67426840429417
943,275.2995682445201
944,256.6712555373406
945,236.8237337283719
946,232.3026364033632
947,283.37648168791986
948,278.00620711315366
949,257.5317961886565
950,282.1335972438712
951,274.88066671335537
952,264.0435330993014
953,251.4413982036164
954,242.55983988463336
955,269.8627828779519
956,246.24591287372056
957,282.6150308694173
958,148.56609736681494
959,-39.608622602288214
960,280.8032513944312
961,235.99649387606584
962,197.21047779177394
963,290.1504024716498
964,264.09761799844307
965,249.66674951973977
966,257.14874926048407
967,263.9865466416819
968,268.1040113680273
969,245.0565805625581
970,234.2517838893798
971,-11.441331997154577
972,254.23367845819706
973,270.67511457819063
974,246.75102593082633
975,263.22709114447434
976,248.99953680854966
977,247.04945074600346
978,257.0712091271346
979,252.84814507521736
980,227.87380276673605
981,244.62614250327354
982,245.32656497003757
983,280.1539285421428
984,260.6070100871432
985,260.1899495968246
986,273.07362413897795
987,207.6116022547111
988,265.9070581883541
989,261.1739091017849
990,229.9260773714003
991,243.47935081182752
992,245.32390925535577
993,281.6304939266455
994,266.5546821417742
995,251.67730538290522
996,253.0526385961179
997,283.359327011131
998,278.38749800421465
999,285.9209993528606
